InModel	SeqClass	RIPpct	TiTvSet	Classification	GeneNum
sgl3	Repeat	RIP 0% All	15	FP	3.66666666666667
sgl3	Repeat	RIP 0% All	3	FN	0
sgl3	Repeat	RIP 0% All	5	FN	0
sgl3	Repeat	RIP 0% All	7	FN	0
sgl3	Repeat	RIP 0% All	10	FN	0
sgl3	Repeat	RIP 0% All	15	FN	0
sgl3	Repeat	RIP 80% All	3	TP SNP:1-9	693.666666666667
sgl3	Repeat	RIP 80% All	5	TP SNP:1-9	409.333333333333
sgl3	Repeat	RIP 80% All	7	TP SNP:1-9	190
sgl3	Repeat	RIP 80% All	10	TP SNP:1-9	0
sgl3	Repeat	RIP 80% All	15	TP SNP:1-9	0
sgl3	Repeat	RIP 80% All	3	TP SNP:10-19	197
sgl3	Repeat	RIP 80% All	5	TP SNP:10-19	189
sgl3	Repeat	RIP 80% All	7	TP SNP:10-19	177
sgl3	Repeat	RIP 80% All	10	TP SNP:10-19	154.333333333333
sgl3	Repeat	RIP 80% All	15	TP SNP:10-19	44.3333333333333
sgl3	Repeat	RIP 80% All	3	TP SNP:20+	266.333333333333
sgl3	Repeat	RIP 80% All	5	TP SNP:20+	264
sgl3	Repeat	RIP 80% All	7	TP SNP:20+	260.666666666667
sgl3	Repeat	RIP 80% All	10	TP SNP:20+	239
sgl3	Repeat	RIP 80% All	15	TP SNP:20+	181
sgl3	Repeat	RIP 80% All	3	TN	16.3333333333333
sgl3	Repeat	RIP 80% All	5	TN	16.3333333333333
sgl3	Repeat	RIP 80% All	7	TN	16.3333333333333
sgl3	Repeat	RIP 80% All	10	TN	16.3333333333333
sgl3	Repeat	RIP 80% All	15	TN	16.3333333333333
sgl3	Repeat	RIP 80% All	3	FP	0
sgl3	Repeat	RIP 80% All	5	FP	0
sgl3	Repeat	RIP 80% All	7	FP	0
sgl3	Repeat	RIP 80% All	10	FP	0
sgl3	Repeat	RIP 80% All	15	FP	0
sgl3	Repeat	RIP 80% All	3	FN	170.666666666667
sgl3	Repeat	RIP 80% All	5	FN	465.333333333333
sgl3	Repeat	RIP 80% All	7	FN	700
sgl3	Repeat	RIP 80% All	10	FN	934.333333333333
sgl3	Repeat	RIP 80% All	15	FN	1102.33333333333
sgl3	Repeat	RIP100% All	3	TP SNP:1-9	718
sgl3	Repeat	RIP100% All	5	TP SNP:1-9	461.666666666667
sgl3	Repeat	RIP100% All	7	TP SNP:1-9	216
sgl3	Repeat	RIP100% All	10	TP SNP:1-9	0
sgl3	Repeat	RIP100% All	15	TP SNP:1-9	0
sgl3	Repeat	RIP100% All	3	TP SNP:10-19	212
sgl3	Repeat	RIP100% All	5	TP SNP:10-19	212
sgl3	Repeat	RIP100% All	7	TP SNP:10-19	212
sgl3	Repeat	RIP100% All	10	TP SNP:10-19	212
sgl3	Repeat	RIP100% All	15	TP SNP:10-19	70.6666666666667
sgl3	Repeat	RIP100% All	3	TP SNP:20+	255.666666666667
sgl3	Repeat	RIP100% All	5	TP SNP:20+	255.666666666667
sgl3	Repeat	RIP100% All	7	TP SNP:20+	255.666666666667
sgl3	Repeat	RIP100% All	10	TP SNP:20+	255.666666666667
sgl3	Repeat	RIP100% All	15	TP SNP:20+	255.666666666667
sgl3	Repeat	RIP100% All	3	TN	15.6666666666667
sgl3	Repeat	RIP100% All	5	TN	15.6666666666667
sgl3	Repeat	RIP100% All	7	TN	15.6666666666667
sgl3	Repeat	RIP100% All	10	TN	15.6666666666667
sgl3	Repeat	RIP100% All	15	TN	15.6666666666667
sgl3	Repeat	RIP100% All	3	FP	0
sgl3	Repeat	RIP100% All	5	FP	0
sgl3	Repeat	RIP100% All	7	FP	0
sgl3	Repeat	RIP100% All	10	FP	0
sgl3	Repeat	RIP100% All	15	FP	0
sgl3	Repeat	RIP100% All	3	FN	142.666666666667
sgl3	Repeat	RIP100% All	5	FN	399
sgl3	Repeat	RIP100% All	7	FN	644.666666666667
sgl3	Repeat	RIP100% All	10	FN	860.666666666667
sgl3	Repeat	RIP100% All	15	FN	1002
